,label,input,seglen,ids,mfw,freqtype,normalization,ARI
0,full-99999-15-10-relative-True,full,99999,15,10,relative,True,0.3648
1,full-99999-15-10-relative-True,full,99999,15,10,relative,True,0.5517
2,full-99999-15-10-relative-True,full,99999,15,10,relative,True,0.3648
3,full-99999-15-10-relative-True,full,99999,15,10,relative,True,0.5517
4,full-99999-15-10-relative-True,full,99999,15,10,relative,True,0.5517
5,full-99999-15-10-relative-True,full,99999,15,10,relative,True,0.5517
6,full-99999-15-10-relative-True,full,99999,15,10,relative,True,0.4476
7,full-99999-15-10-relative-True,full,99999,15,10,relative,True,0.3648
8,full-99999-15-10-relative-True,full,99999,15,10,relative,True,0.5517
9,full-99999-15-10-relative-True,full,99999,15,10,relative,True,0.3648
10,full-99999-15-10-relative-False,full,99999,15,10,relative,False,0.2312
11,full-99999-15-10-relative-False,full,99999,15,10,relative,False,0.2312
12,full-99999-15-10-relative-False,full,99999,15,10,relative,False,0.2312
13,full-99999-15-10-relative-False,full,99999,15,10,relative,False,0.2312
14,full-99999-15-10-relative-False,full,99999,15,10,relative,False,0.3532
15,full-99999-15-10-relative-False,full,99999,15,10,relative,False,0.3532
16,full-99999-15-10-relative-False,full,99999,15,10,relative,False,0.2312
17,full-99999-15-10-relative-False,full,99999,15,10,relative,False,0.2312
18,full-99999-15-10-relative-False,full,99999,15,10,relative,False,0.2312
19,full-99999-15-10-relative-False,full,99999,15,10,relative,False,0.2312
20,full-99999-15-10-absolute-True,full,99999,15,10,absolute,True,0.2733
21,full-99999-15-10-absolute-True,full,99999,15,10,absolute,True,0.2733
22,full-99999-15-10-absolute-True,full,99999,15,10,absolute,True,0.2733
23,full-99999-15-10-absolute-True,full,99999,15,10,absolute,True,0.2733
24,full-99999-15-10-absolute-True,full,99999,15,10,absolute,True,0.141
25,full-99999-15-10-absolute-True,full,99999,15,10,absolute,True,0.2733
26,full-99999-15-10-absolute-True,full,99999,15,10,absolute,True,0.2733
27,full-99999-15-10-absolute-True,full,99999,15,10,absolute,True,0.2733
28,full-99999-15-10-absolute-True,full,99999,15,10,absolute,True,0.2733
29,full-99999-15-10-absolute-True,full,99999,15,10,absolute,True,0.2733
30,full-99999-15-10-absolute-False,full,99999,15,10,absolute,False,0.2733
31,full-99999-15-10-absolute-False,full,99999,15,10,absolute,False,0.2733
32,full-99999-15-10-absolute-False,full,99999,15,10,absolute,False,0.2733
33,full-99999-15-10-absolute-False,full,99999,15,10,absolute,False,0.2733
34,full-99999-15-10-absolute-False,full,99999,15,10,absolute,False,0.2733
35,full-99999-15-10-absolute-False,full,99999,15,10,absolute,False,0.2733
36,full-99999-15-10-absolute-False,full,99999,15,10,absolute,False,0.2733
37,full-99999-15-10-absolute-False,full,99999,15,10,absolute,False,0.2733
38,full-99999-15-10-absolute-False,full,99999,15,10,absolute,False,0.141
39,full-99999-15-10-absolute-False,full,99999,15,10,absolute,False,0.2733
40,full-99999-15-100-relative-True,full,99999,15,100,relative,True,0.6521
41,full-99999-15-100-relative-True,full,99999,15,100,relative,True,0.6521
42,full-99999-15-100-relative-True,full,99999,15,100,relative,True,0.6928
43,full-99999-15-100-relative-True,full,99999,15,100,relative,True,0.6521
44,full-99999-15-100-relative-True,full,99999,15,100,relative,True,0.6521
45,full-99999-15-100-relative-True,full,99999,15,100,relative,True,0.6521
46,full-99999-15-100-relative-True,full,99999,15,100,relative,True,0.6521
47,full-99999-15-100-relative-True,full,99999,15,100,relative,True,0.6521
48,full-99999-15-100-relative-True,full,99999,15,100,relative,True,0.6521
49,full-99999-15-100-relative-True,full,99999,15,100,relative,True,0.6521
50,full-99999-15-100-relative-False,full,99999,15,100,relative,False,0.5734
51,full-99999-15-100-relative-False,full,99999,15,100,relative,False,0.5734
52,full-99999-15-100-relative-False,full,99999,15,100,relative,False,0.5734
53,full-99999-15-100-relative-False,full,99999,15,100,relative,False,0.5734
54,full-99999-15-100-relative-False,full,99999,15,100,relative,False,0.5734
55,full-99999-15-100-relative-False,full,99999,15,100,relative,False,0.5734
56,full-99999-15-100-relative-False,full,99999,15,100,relative,False,0.6928
57,full-99999-15-100-relative-False,full,99999,15,100,relative,False,0.6928
58,full-99999-15-100-relative-False,full,99999,15,100,relative,False,0.5734
59,full-99999-15-100-relative-False,full,99999,15,100,relative,False,0.5734
60,full-99999-15-100-absolute-True,full,99999,15,100,absolute,True,0.141
61,full-99999-15-100-absolute-True,full,99999,15,100,absolute,True,0.141
62,full-99999-15-100-absolute-True,full,99999,15,100,absolute,True,0.141
63,full-99999-15-100-absolute-True,full,99999,15,100,absolute,True,0.141
64,full-99999-15-100-absolute-True,full,99999,15,100,absolute,True,0.141
65,full-99999-15-100-absolute-True,full,99999,15,100,absolute,True,0.141
66,full-99999-15-100-absolute-True,full,99999,15,100,absolute,True,0.2733
67,full-99999-15-100-absolute-True,full,99999,15,100,absolute,True,0.141
68,full-99999-15-100-absolute-True,full,99999,15,100,absolute,True,0.141
69,full-99999-15-100-absolute-True,full,99999,15,100,absolute,True,0.141
70,full-99999-15-100-absolute-False,full,99999,15,100,absolute,False,0.2733
71,full-99999-15-100-absolute-False,full,99999,15,100,absolute,False,0.2733
72,full-99999-15-100-absolute-False,full,99999,15,100,absolute,False,0.2733
73,full-99999-15-100-absolute-False,full,99999,15,100,absolute,False,0.2733
74,full-99999-15-100-absolute-False,full,99999,15,100,absolute,False,0.2733
75,full-99999-15-100-absolute-False,full,99999,15,100,absolute,False,0.2733
76,full-99999-15-100-absolute-False,full,99999,15,100,absolute,False,0.2733
77,full-99999-15-100-absolute-False,full,99999,15,100,absolute,False,0.2733
78,full-99999-15-100-absolute-False,full,99999,15,100,absolute,False,0.2733
79,full-99999-15-100-absolute-False,full,99999,15,100,absolute,False,0.2733
80,full-99999-15-1000-relative-True,full,99999,15,1000,relative,True,0.6521
81,full-99999-15-1000-relative-True,full,99999,15,1000,relative,True,0.6521
82,full-99999-15-1000-relative-True,full,99999,15,1000,relative,True,0.6752
83,full-99999-15-1000-relative-True,full,99999,15,1000,relative,True,0.6521
84,full-99999-15-1000-relative-True,full,99999,15,1000,relative,True,0.6521
85,full-99999-15-1000-relative-True,full,99999,15,1000,relative,True,0.6521
86,full-99999-15-1000-relative-True,full,99999,15,1000,relative,True,0.6326
87,full-99999-15-1000-relative-True,full,99999,15,1000,relative,True,0.6521
88,full-99999-15-1000-relative-True,full,99999,15,1000,relative,True,0.6521
89,full-99999-15-1000-relative-True,full,99999,15,1000,relative,True,0.6521
90,full-99999-15-1000-relative-False,full,99999,15,1000,relative,False,0.5734
91,full-99999-15-1000-relative-False,full,99999,15,1000,relative,False,0.5734
92,full-99999-15-1000-relative-False,full,99999,15,1000,relative,False,0.5734
93,full-99999-15-1000-relative-False,full,99999,15,1000,relative,False,0.5734
94,full-99999-15-1000-relative-False,full,99999,15,1000,relative,False,0.5734
95,full-99999-15-1000-relative-False,full,99999,15,1000,relative,False,0.5734
96,full-99999-15-1000-relative-False,full,99999,15,1000,relative,False,0.5734
97,full-99999-15-1000-relative-False,full,99999,15,1000,relative,False,0.5734
98,full-99999-15-1000-relative-False,full,99999,15,1000,relative,False,0.5734
99,full-99999-15-1000-relative-False,full,99999,15,1000,relative,False,0.5734
100,full-99999-15-1000-absolute-True,full,99999,15,1000,absolute,True,0.2733
101,full-99999-15-1000-absolute-True,full,99999,15,1000,absolute,True,0.2733
102,full-99999-15-1000-absolute-True,full,99999,15,1000,absolute,True,0.2733
103,full-99999-15-1000-absolute-True,full,99999,15,1000,absolute,True,0.2733
104,full-99999-15-1000-absolute-True,full,99999,15,1000,absolute,True,0.2733
105,full-99999-15-1000-absolute-True,full,99999,15,1000,absolute,True,0.2733
106,full-99999-15-1000-absolute-True,full,99999,15,1000,absolute,True,0.2733
107,full-99999-15-1000-absolute-True,full,99999,15,1000,absolute,True,0.2733
108,full-99999-15-1000-absolute-True,full,99999,15,1000,absolute,True,0.2733
109,full-99999-15-1000-absolute-True,full,99999,15,1000,absolute,True,0.2733
110,full-99999-15-1000-absolute-False,full,99999,15,1000,absolute,False,0.2733
111,full-99999-15-1000-absolute-False,full,99999,15,1000,absolute,False,0.2733
112,full-99999-15-1000-absolute-False,full,99999,15,1000,absolute,False,0.2733
113,full-99999-15-1000-absolute-False,full,99999,15,1000,absolute,False,0.2733
114,full-99999-15-1000-absolute-False,full,99999,15,1000,absolute,False,0.2733
115,full-99999-15-1000-absolute-False,full,99999,15,1000,absolute,False,0.2733
116,full-99999-15-1000-absolute-False,full,99999,15,1000,absolute,False,0.2733
117,full-99999-15-1000-absolute-False,full,99999,15,1000,absolute,False,0.2733
118,full-99999-15-1000-absolute-False,full,99999,15,1000,absolute,False,0.2733
119,full-99999-15-1000-absolute-False,full,99999,15,1000,absolute,False,0.2733
120,full-99999-15-2000-relative-True,full,99999,15,2000,relative,True,0.6024
121,full-99999-15-2000-relative-True,full,99999,15,2000,relative,True,0.6521
122,full-99999-15-2000-relative-True,full,99999,15,2000,relative,True,0.4612
